label,label_name,term,notes,organ_system,organ_system_name,no_analysis,
1,forebrain_anteroventral_region,,,EMAPA:16469,nervous system,,
3,forebrain,16895,,EMAPA:16469,nervous system,,
4,forebrain_between_lateral_ventricles,,,EMAPA:16469,nervous system,,
17,brain_lateral_ventricle,16914,,EMAPA:16469,nervous system,,
18,brain_third_ventricle,16900,,EMAPA:16469,nervous system,,
19,brain_mesencephalic_vesicle,17795,,EMAPA:16469,nervous system,,
20,brain_fourth_ventricle,16917,,EMAPA:16469,nervous system,,
21,cerebellar_primordium,17787,,EMAPA:16469,nervous system,,
23,midbrain,16974,,EMAPA:16469,nervous system,,
24,pons,17563,,EMAPA:16469,nervous system,,
25,medulla_oblongata,17550,,EMAPA:16469,nervous system,,
26,retina_and_other_eye_tissues,NA,,EMAPA:16192,sensory organ system,,
27,lens_of_the_eye,17838,,EMAPA:16192,sensory organ system,,
29,whiskers_and_tactile_follicles,17529,,EMAPA:17524,integumental system,,TRUE
30,cochlea,17597,,EMAPA:16192,sensory organ system,,TRUE
31,semicircular_canal,32832,,EMAPA:16192,sensory organ system,,TRUE
32,endolymphatic_ducts,18580,,EMAPA:16192,sensory organ system,,TRUE
33,sublingual_duct,18809,,EMAPA:16246,alimentary system,,TRUE
34,submandibular_duct,35833,,EMAPA:16246,alimentary system,,TRUE
35,submandibular_gland,18812,,EMAPA:16246,alimentary system,,TRUE
36,Meckel_s_cartilage,17635,,EMAPA:16246,alimentary system,,TRUE
37,mandible,18290,,EMAPA:32714,musculoskeletal system,,TRUE
38,lower_molar_primordia,17921,,EMAPA:16246,alimentary system,,TRUE
39,lower_incisor_primordia,17918,,EMAPA:16246,alimentary system,,TRUE
40,stomach_wall,35826,,EMAPA:16246,alimentary system,,
41,stomach_lumen,18395,,EMAPA:16246,alimentary system,,
42,foregut,16548,,EMAPA:16246,alimentary system,,
43,mid_hindgut,16247,n/a (= 16255(midgut) + 16715(hindgut)),term not found,term not found,,
44,rectum,17896,,EMAPA:16246,alimentary system,,
45,pancreas,17503,,EMAPA:16246,alimentary system,,
46,thyroid,17068,,EMAPA:16246,alimentary system,,TRUE
47,medial_pterygoid_muscle,25141,,EMAPA:32714,musculoskeletal system,,TRUE
48,masseter_muscle,25135,,EMAPA:32714,musculoskeletal system,,TRUE
49,tongue,17185,,EMAPA:16246,alimentary system,,
50,genioglossus_muscle,18276,,EMAPA:32714,musculoskeletal system,,TRUE
51,vomeronasal_organ,17612,,EMAPA:16192,sensory organ system,,
52,medial_lobe_of_liver,18318,,EMAPA:16840,liver and biliary system,,
53,left_lobe_of_liver,18307,,EMAPA:16840,liver and biliary system,,
54,right_lobe_of_liver,18311,,EMAPA:16840,liver and biliary system,,
55,caudate_lobe_of_liver,18313,,EMAPA:16840,liver and biliary system,,
56,bladder_wall,35175,,EMAPA:16367,genitourinary system,,TRUE
57,bladder_lumen,18321,,EMAPA:16367,genitourinary system,,TRUE
58,metanephros,17373,,EMAPA:16367,genitourinary system,,TRUE
59,ureteric_trunk,28494,,EMAPA:16367,genitourinary system,,TRUE
60,nephric_ducts,16577,,EMAPA:16367,genitourinary system,,TRUE
61,left_lung,17653,,EMAPA:16727,respiratory system,,
62,right_lung_cranial_lobe,17991,,EMAPA:16727,respiratory system,,
63,right_lung_middle_lobe,17997,,EMAPA:16727,respiratory system,,
64,right_lung_caudal_lobe,17986,,EMAPA:16727,respiratory system,,
65,right_lung_accessory_lobe,17981,,EMAPA:16727,respiratory system,,
66,bronchii,32689,,EMAPA:16727,respiratory system,,
67,trachea,16853,,EMAPA:16727,respiratory system,,TRUE
68,optic II nerve,17575,,EMAPA:16192,sensory organ system,,TRUE
69,eye_muscles,35335,,EMAPA:16192,sensory organ system,,
70,nasal_cavity_epithelium,17605,,EMAPA:16192,sensory organ system,,TRUE
71,future_anterior_pituitary,35998,,EMAPA:35306,endocrine system,,TRUE
72,infundibulum_of_pituitary,35998,,EMAPA:35306,endocrine system,,TRUE
74,facial__VII__ganglia,17569,,EMAPA:16469,nervous system,,TRUE
75,trigeminal__V__ganglia,16797,,EMAPA:16469,nervous system,,TRUE
76,vestibulocochlear__VIII__ganglia,17571,,EMAPA:16469,nervous system,,TRUE
77,superior_ganglion_of_glossopharyngeal__IX__nerves,17154,,EMAPA:16469,nervous system,,TRUE
